1,돈암2동주민센터,서울특별시 성북구 흥천사길 7 (돈암동),서울특별시 성북구 흥천사길 7 
2,동선동주민센터,서울특별시 성북구 동소문로26길 27 (동선동),서울특별시 성북구 동소문로26길 27 
3,보문동주민센터,서울특별시 성북구 보문동7가 108-1 (보문동),서울특별시 성북구 보문동7가 108-1 
4,삼선동주민센터,서울특별시 성북구 보문로 190 (삼선동),서울특별시 성북구 보문로 190 
35,안암동주민센터,서울특별시 성북구 인촌로 16 (안암동),서울특별시 성북구 인촌로 16 
36,월곡1동주민센터,서울특별시 성북구 오패산로 96 (월곡동),서울특별시 성북구 오패산로 96 
37,월곡2동주민센터,서울특별시 성북구 화랑로 152 (월곡동),서울특별시 성북구 화랑로 152 
38,장위1동주민센터,서울특별시 성북구 장위로 61 (장위동),서울특별시 성북구 장위로 61 
39,장위2동주민센터,서울특별시 성북구 돌곶이로27길 12 (장위동),서울특별시 성북구 돌곶이로27길 12 
40,장위3동주민센터,서울특별시 성북구 한천로 657 (장위동),서울특별시 성북구 한천로 657 
41,정릉1동주민센터,서울특별시 성북구 정릉로38마길 33 (정릉동),서울특별시 성북구 정릉로38마길 33 
42,정릉2동주민센터,서울특별시 성북구 정릉로26길 1 (정릉동),서울특별시 성북구 정릉로26길 1 
43,정릉3동주민센터,서울특별시 성북구 솔샘로1길 6-3 (정릉동),서울특별시 성북구 솔샘로1길 6-3 
44,정릉4동주민센터,서울특별시 성북구 보국문로 106-1 (정릉동),서울특별시 성북구 보국문로 106-1 
45,종암동주민센터,서울특별시 성북구 종암로 98-8 (종암동),서울특별시 성북구 종암로 98-8 
46,가락1동주민센터,서울특별시 송파구 송파대로 345 (가락동 가락초등학교 내),서울특별시 송파구 송파대로 345 
47,가락2동주민센터,서울특별시 송파구 중대로20길 6 (가락동),서울특별시 송파구 중대로20길 6 
48,가락본동주민센터,서울특별시 송파구 송파대로28길 39 (가락동),서울특별시 송파구 송파대로28길 39 
49,거여1동주민센터,서울특별시 송파구 오금로53길 (거여동),서울특별시 송파구 오금로53길 
50,거여2동주민센터,서울특별시 송파구 거마로2길 19 (거여동),서울특별시 송파구 거마로2길 19 
51,마천1동주민센터,서울특별시 송파구 마천로 303 (마천동),서울특별시 송파구 마천로 303 
52,마천2동주민센터,서울특별시 송파구 마천로 287 (마천동),서울특별시 송파구 마천로 287 
53,문정1동주민센터,서울특별시 송파구 동남로 116 (문정동),서울특별시 송파구 동남로 116 
54,문정2동주민센터,서울특별시 송파구 새말로19길 6 (문정동),서울특별시 송파구 새말로19길 6 
